participante,delegado
Ana Costa,J. Fred Buzhardt
Eduardo Costa,Alexander Haig
Eduardo Oliveira,Elliot Richardson
Eduardo Rodrigues,H.R. Haldeman
Fernanda Souza,John N. Mitchell
Carlos Santos,Robert Bork
Carlos Costa,Alexander Butterfield
Helena Rodrigues,Richard Nixon
Carlos Silva,L. Patrick Gray
Fernanda Rodrigues,Ken Clawson
Eduardo Santos,Jeb Stuart Magruder
Fernanda Almeida,Spiro Agnew
Carlos Souza,John Ehrlichman
Ana Souza,Leonard Garment
Gabriel Souza,Charles Colson
Gabriel Rodrigues,Vernon Walters
Helena Santos,Ron Ziegler
Bruno Souza,E. Howard Hunt
Ana Silva,G. Gordon Liddy
Gabriel Santos,John Dean
