nome,X,Y,Z
Fernanda Rodrigues,4.274686996207473,4.147629136077132,3.5739297416257245
Fernanda Souza,4.92251749093267,3.55175443982129,2.662899200999005
Eduardo Oliveira,1.25986703137953,1.6127571603128499,3.8027325533978114
Helena Rodrigues,4.685716714721471,3.645727119179619,4.4032204385676055
Gabriel Santos,2.730432014973842,2.4624791880237646,2.908742005997638
Eduardo Santos,4.947932027869175,1.2654551920635382,3.4248416794166814
Carlos Souza,3.145042969040744,3.5384385801094975,3.4043949590334823
Bruno Souza,3.860358494499825,2.7974007729173964,2.6237088279772913
Carlos Costa,1.7839858510917552,1.0533580076045097,1.5008604684795288
Fernanda Almeida,1.3008787146476388,1.4061285822416787,4.179307296475718
Carlos Silva,2.8377914297766376,3.641559504114041,2.7295938421934247
Carlos Santos,1.4260069514543292,4.4235114681115295,3.538070245301061
Ana Costa,1.722847911683238,3.285654988685547,1.948677886762522
Ana Souza,1.1693391387210834,4.4880523458358255,3.3655155025324177
Helena Santos,2.169302853030447,4.766225149595561,3.930749365236311
Eduardo Costa,4.051200892929041,3.421704367014199,3.215138764256879
Ana Silva,4.270447929955169,3.6346192631832848,2.7623942936333354
Eduardo Rodrigues,4.671381681861142,4.498849580719749,1.2259555647216076
Gabriel Souza,4.927640733845532,3.1465738040111844,3.523300347685064
Gabriel Rodrigues,1.0232579948370084,4.041212193541503,1.5883084009892134
